algorithm,array_size,round,execution_time_ns,execution_time_formatted,swaps,iterations
BogoSort,10,1,376671272,376_671_272 ns (376.6713 ms),29962337,42372700
BogoSort,10,2,284332997,284_332_997 ns (284.3330 ms),23341137,33007320
BogoSort,10,3,524532275,524_532_275 ns (524.5323 ms),47917520,67771900
BogoSort,10,4,303948884,303_948_884 ns (303.9489 ms),28108337,39751150
BogoSort,10,5,1095893022,1_095_893_022 ns (1.0959 s),104741802,148118370
InsertionSort,10,1,11104,11_104 ns,26,24
InsertionSort,10,2,5587,5_587 ns,29,31
InsertionSort,10,3,4889,4_889 ns,28,27
InsertionSort,10,4,3282,3_282 ns,25,25
InsertionSort,10,5,4819,4_819 ns,25,28
InsertionSort,1000,1,7910496,7_910_496 ns (7.9105 ms),259228,259234
InsertionSort,1000,2,1114108,1_114_108 ns (1.1141 ms),246721,246723
InsertionSort,1000,3,1059770,1_059_770 ns (1.0598 ms),246269,246266
InsertionSort,1000,4,1054114,1_054_114 ns (1.0541 ms),260642,260643
InsertionSort,1000,5,331606,331_606 ns,252538,252528
InsertionSort,10000,1,21670056,21_670_056 ns (21.6701 ms),25159029,25159036
InsertionSort,10000,2,21205751,21_205_751 ns (21.2058 ms),24756628,24756629
InsertionSort,10000,3,17453880,17_453_880 ns (17.4539 ms),25095546,25095554
InsertionSort,10000,4,17479722,17_479_722 ns (17.4797 ms),25141382,25141380
InsertionSort,10000,5,17296947,17_296_947 ns (17.2969 ms),24889799,24889806
InsertionSort,100000,1,1858082848,1_858_082_848 ns (1.8581 s),2507533890,2507533889
InsertionSort,100000,2,1838309781,1_838_309_781 ns (1.8383 s),2502554840,2502554836
InsertionSort,100000,3,1843747649,1_843_747_649 ns (1.8437 s),2495387769,2495387769
InsertionSort,100000,4,1832796507,1_832_796_507 ns (1.8328 s),2496732673,2496732670
InsertionSort,100000,5,1829474191,1_829_474_191 ns (1.8295 s),2494407789,2494407794
InsertionSort,1000000,1,184605706742,184_605_706_742 ns (3.0667 min),250071661825,250071661829
InsertionSort,1000000,2,185024850242,185_024_850_242 ns (3.0833 min),249909592887,249909592895
InsertionSort,1000000,3,183655372771,183_655_372_771 ns (3.0500 min),250066229560,250066229551
InsertionSort,1000000,4,187527573484,187_527_573_484 ns (3.1167 min),249998019805,249998019801
InsertionSort,1000000,5,184171824180,184_171_824_180 ns (3.0667 min),249897775351,249897775346
MergeSort,10,1,17250,17_250 ns,68,24
MergeSort,10,2,9638,9_638 ns,68,24
MergeSort,10,3,8660,8_660 ns,68,20
MergeSort,10,4,8590,8_590 ns,68,19
MergeSort,10,5,9079,9_079 ns,68,25
MergeSort,1000,1,1300274,1_300_274 ns (1.3003 ms),19952,8731
MergeSort,1000,2,699583,699_583 ns,19952,8741
MergeSort,1000,3,105877,105_877 ns,19952,8672
MergeSort,1000,4,111534,111_534 ns,19952,8704
MergeSort,1000,5,104760,104_760 ns,19952,8712
MergeSort,10000,1,1656038,1_656_038 ns (1.6560 ms),267232,120490
MergeSort,10000,2,1619861,1_619_861 ns (1.6199 ms),267232,120396
MergeSort,10000,3,1398958,1_398_958 ns (1.3990 ms),267232,120482
MergeSort,10000,4,1344832,1_344_832 ns (1.3448 ms),267232,120458
MergeSort,10000,5,1649054,1_649_054 ns (1.6491 ms),267232,120391
MergeSort,100000,1,33729611,33_729_611 ns (33.7296 ms),3337856,1536278
MergeSort,100000,2,12382847,12_382_847 ns (12.3828 ms),3337856,1536059
MergeSort,100000,3,18261668,18_261_668 ns (18.2617 ms),3337856,1536244
MergeSort,100000,4,12499340,12_499_340 ns (12.4993 ms),3337856,1536207
MergeSort,100000,5,12225358,12_225_358 ns (12.2254 ms),3337856,1536608
MergeSort,1000000,1,168861139,168_861_139 ns (168.8611 ms),39902848,18673931
MergeSort,1000000,2,145685978,145_685_978 ns (145.6860 ms),39902848,18674172
MergeSort,1000000,3,140912718,140_912_718 ns (140.9127 ms),39902848,18674118
MergeSort,1000000,4,142305739,142_305_739 ns (142.3057 ms),39902848,18674079
MergeSort,1000000,5,148015828,148_015_828 ns (148.0158 ms),39902848,18674603
ShellSort,10,1,9848,9_848 ns,20,29
ShellSort,10,2,7543,7_543 ns,29,35
ShellSort,10,3,5168,5_168 ns,32,37
ShellSort,10,4,5307,5_307 ns,25,29
ShellSort,10,5,5727,5_727 ns,28,33
ShellSort,1000,1,967699,967_699 ns,11562,13677
ShellSort,1000,2,1017424,1_017_424 ns (1.0174 ms),12642,14640
ShellSort,1000,3,964974,964_974 ns,11938,14001
ShellSort,1000,4,1043614,1_043_614 ns (1.0436 ms),12543,14590
ShellSort,1000,5,993469,993_469 ns,12016,14049
ShellSort,10000,1,5488767,5_488_767 ns (5.4888 ms),212079,237591
ShellSort,10000,2,1755279,1_755_279 ns (1.7553 ms),221773,246901
ShellSort,10000,3,1699827,1_699_827 ns (1.6998 ms),220258,245477
ShellSort,10000,4,1671262,1_671_262 ns (1.6713 ms),216824,241832
ShellSort,10000,5,1631035,1_631_035 ns (1.6310 ms),213778,239227
ShellSort,100000,1,17142000,17_142_000 ns (17.1420 ms),3595971,3897055
ShellSort,100000,2,10550395,10_550_395 ns (10.5504 ms),3537985,3840186
ShellSort,100000,3,10636088,10_636_088 ns (10.6361 ms),3580753,3884277
ShellSort,100000,4,10813760,10_813_760 ns (10.8138 ms),3744971,4045820
ShellSort,100000,5,10336896,10_336_896 ns (10.3369 ms),3425144,3728288
ShellSort,1000000,1,161482307,161_482_307 ns (161.4823 ms),59927959,63353716
ShellSort,1000000,2,165271180,165_271_180 ns (165.2712 ms),64104624,67544388
ShellSort,1000000,3,160272063,160_272_063 ns (160.2721 ms),58710916,62156446
ShellSort,1000000,4,174609025,174_609_025 ns (174.6090 ms),67162887,70547448
ShellSort,1000000,5,165449486,165_449_486 ns (165.4495 ms),63140856,66569717
CocktailSort,10,1,13410,13_410 ns,27,42
CocktailSort,10,2,8241,8_241 ns,27,46
CocktailSort,10,3,7054,7_054 ns,25,42
CocktailSort,10,4,6635,6_635 ns,17,46
CocktailSort,10,5,6705,6_705 ns,17,38
CocktailSort,1000,1,7426119,7_426_119 ns (7.4261 ms),245920,382872
CocktailSort,1000,2,2163073,2_163_073 ns (2.1631 ms),251231,381416
CocktailSort,1000,3,2199739,2_199_739 ns (2.1997 ms),249047,382872
CocktailSort,1000,4,2226208,2_226_208 ns (2.2262 ms),252709,384800
CocktailSort,1000,5,2269370,2_269_370 ns (2.2694 ms),256179,395118
CocktailSort,10000,1,76520015,76_520_015 ns (76.5200 ms),24966921,37674388
CocktailSort,10000,2,100585219,100_585_219 ns (100.5852 ms),25322370,38039060
CocktailSort,10000,3,54821047,54_821_047 ns (54.8210 ms),24812621,37273988
CocktailSort,10000,4,51237296,51_237_296 ns (51.2373 ms),24628336,37208318
CocktailSort,10000,5,59206767,59_206_767 ns (59.2068 ms),25156518,38019488
CocktailSort,100000,1,7950375558,7_950_375_558 ns (7.9504 s),2502722548,3748049240
CocktailSort,100000,2,7932999925,7_932_999_925 ns (7.9330 s),2507340316,3762816976
CocktailSort,100000,3,7760857883,7_760_857_883 ns (7.7609 s),2504721405,3755394168
CocktailSort,100000,4,7768576699,7_768_576_699 ns (7.7686 s),2499463231,3752948260
CocktailSort,100000,5,7875033616,7_875_033_616 ns (7.8750 s),2499248089,3761324236
CocktailSort,1000000,1,787244978209,787_244_978_209 ns (13.1167 min),249805386584,375024498800
CocktailSort,1000000,2,784117674820,784_117_674_820 ns (13.0667 min),249751284498,374782405388
CocktailSort,1000000,3,782093070557,782_093_070_557 ns (13.0333 min),250005862563,374969498140
CocktailSort,1000000,4,787195192954,787_195_192_954 ns (13.1167 min),250004344002,374968498016
CocktailSort,1000000,5,779080804974,779_080_804_974 ns (12.9833 min),249958258548,375333776888
BubbleSort,10,1,14806,14_806 ns,24,54
BubbleSort,10,2,9009,9_009 ns,34,54
BubbleSort,10,3,8241,8_241 ns,19,49
BubbleSort,10,4,6565,6_565 ns,18,52
BubbleSort,10,5,6704,6_704 ns,19,45
BubbleSort,1000,1,7523159,7_523_159 ns (7.5232 ms),250718,500395
BubbleSort,1000,2,2472030,2_472_030 ns (2.4720 ms),252053,500247
BubbleSort,1000,3,1212165,1_212_165 ns (1.2122 ms),252751,500455
BubbleSort,1000,4,2484881,2_484_881 ns (2.4849 ms),257194,500380
BubbleSort,1000,5,2477618,2_477_618 ns (2.4776 ms),253719,499015
BubbleSort,10000,1,92657615,92_657_615 ns (92.6576 ms),25265498,50000814
BubbleSort,10000,2,69607559,69_607_559 ns (69.6076 ms),24964129,50002515
BubbleSort,10000,3,61948697,61_948_697 ns (61.9487 ms),24845480,49980469
BubbleSort,10000,4,69539115,69_539_115 ns (69.5391 ms),24687286,49995130
